ID or #		Start	End
============================
gene0		190	255
gene1		337	2799
gene2		2801	3733
gene3		3734	5020
gene4		5234	5530
gene5		5683	6459
gene6		6529	7959
gene7		8238	9191
gene8		9306	9893
gene9		9928	10494
gene10		10643	11356
gene11		11382	11786
gene12		12163	14079
gene13		14168	15298
gene14		15445	16557
gene15		16751	16960
gene16		16751	16903
gene17		16952	17006
gene18		17489	18655
gene19		18715	19620
gene20		19811	20314
gene21		20233	20508
gene22		20815	21078
gene23		21181	21399
gene24		21407	22348
gene25		22391	25207
gene26		25207	25701
gene27		25826	26275
gene28		26277	27227
gene29		27293	28207
gene30		28374	29195
gene31		29651	30799
gene32		30817	34038
gene33		34300	34695
gene34		34781	35371
gene35		35377	36162
gene36		36271	37824
gene37		37898	39115
gene38		39244	40386
gene39		40417	41931
gene40		42403	43173
gene41		43188	44129
gene42		44180	45466
gene43		45463	45750
gene44		45807	47138
gene45		47246	47776
gene46		47769	49631
gene47		49823	50302
gene48		50380	51222
gene49		51229	51606
gene50		51609	52430
gene51		52427	53416
gene52		53416	54702
gene53		54755	57109
gene54		57364	58179
gene55		58474	59279
gene56		59687	60346
gene57		60358	63264
gene58		63429	65780
gene59		65855	66550
gene60		66835	68337
gene61		68348	70048
gene62		70387	71265
gene63		71351	72115
gene64		72229	72927
gene65		72911	74521
gene66		74497	75480
gene67		75644	77299
gene68		77367	77593
gene69		77388	77519
gene70		77621	78799
gene71		78848	79453
gene72		79464	80864
gene73		80867	81958
gene74		81958	83529
gene75		83622	83708
gene76		84368	85312
gene77		85630	87354
gene78		87357	87848
gene79		88028	89032
gene80		89634	90092
gene81		90094	91035
gene82		91032	91397
gene83		91413	93179
gene84		93166	94653
gene85		94650	96008
gene86		96002	97084
gene87		97087	98403
gene88		98403	99647
gene89		99644	100711
gene90		100765	102240
gene91		102233	103153
gene92		103155	103985
gene93		103982	105244
gene94		105305	106456
gene95		106557	107474
gene96		107705	108217
gene97		108279	110984
gene98		111044	111433
gene99		111649	111846
gene100		111856	112599
gene101		112599	113219
gene102		113444	114487
gene103		114522	115724
gene104		115714	117099
gene105		117109	117549
gene106		117752	118645
gene107		118733	119284
gene108		119281	120135
gene109		120178	121551
gene110		122092	122856
gene111		123017	125680
gene112		125695	127587
gene113		127912	129336
gene114		129407	131260
gene115		131615	134212
gene116		134388	134750
gene117		134788	135582
gene118		135598	136464
gene119		136570	136917
gene120		137083	138633
gene121		138835	141225
gene122		141431	141967
gene123		142008	142670
gene124		142779	143705
gene125		143702	144472
gene126		144577	145017
gene127		145081	146310
gene128		146314	146694
gene129		146968	147870
gene130		147944	148795
gene131		148807	149601
gene132		149715	150953
gene133		151003	151599
gene134		151626	152231
gene135		152243	152812
gene136		152829	155426
gene137		155461	156201
gene138		156299	156883
gene139		157253	157732
gene140		157729	159126
gene141		159186	160112
gene142		160149	160604
gene143		160782	161486
gene144		161501	162031
gene145		162105	164534
gene146		164730	167264
gene147		167484	169727
gene148		169778	170575
gene149		170575	171465
gene150		171462	173444
gene151		173602	174882
gene152		175107	176528
gene153		176610	176954
gene154		177001	177624
gene155		177662	178462
gene156		178455	179153
gene157		179237	180754
gene158		180884	182308
gene159		182463	183620
gene160		183709	184095
gene161		184257	185069
gene162		185123	185947
gene163		185978	188650
gene164		188712	189506
gene165		189712	189847
gene166		189874	190599
gene167		190857	191708
gene168		191855	192580
gene169		192872	193429
gene170		193521	194717
gene171		194903	195664
gene172		195677	196534
gene173		196546	197898
gene174		197928	200360
gene175		200482	200967
gene176		200971	201996
gene177		202101	202556
gene178		202560	203348
gene179		203348	204496
gene180		204493	205089
gene181		205126	208608
gene182		208621	209580
gene183		209679	211820
gene184		211877	212266
gene185		212331	213629
gene186		213678	213932
gene187		213925	214125
